nome,genero,data_nascimento,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab
FREDERICO DE CASTRO ESCALEIRA,M,24/03/1977,83,9,0,24,56,0,309442.84,31170.62,36914.75,41257.27,38087.59,42514.00,33769.22,28862.16,24728.50,11486.99,20435.08,216.66,1106826.40,111212.41,111201.53,110944.53,108641.77,111313.96,110772.89,111313.96,110891.90,111313.96,109219.49
JAZIEL PEREIRA DE SOUSA,M,03/05/1961,69,20,3,12,26,1,324091.32,53231.07,44873.85,55545.89,35428.27,35377.77,36517.71,20837.34,20773.89,21505.53,0.00,0.00,1115897.66,111279.95,111565.34,111653.51,111653.51,111653.51,111477.80,111653.51,111653.51,111653.51,111653.51
LUIZ ALBERTO OVANDO,M,25/09/1949,86,1,5,70,12,0,340885.82,40038.05,41231.34,52947.39,46480.82,47335.38,30870.88,29474.27,27038.62,21398.59,3657.89,412.59,973451.59,96640.72,96640.72,97315.81,97550.62,97550.62,97550.62,97550.62,97550.62,97550.62,97550.62
ZACARIAS CALIL HAMU,M,05/11/1953,82,4,6,85,26,6,227416.04,25614.66,32870.88,33504.56,32975.66,32600.29,18394.14,17770.75,7364.25,5362.04,20331.91,626.90,806210.41,83672.50,77891.18,81413.26,83956.98,83956.98,83754.79,77891.18,77891.18,77891.18,77891.18
EDILAZIO GOMES DA SILVA JUNIOR,M,04/05/1981,87,0,5,12,0,1,269430.92,29645.70,67991.37,21709.65,54054.00,19692.50,28378.82,18023.27,5308.77,14235.23,10391.61,0.00,1113908.02,111402.54,111185.22,111659.65,111166.30,111659.65,111659.65,111659.65,110963.46,111241.12,111310.78
ÉDIO VIEIRA LOPES,M,04/01/1952,71,16,5,18,5,2,343353.54,42432.81,39836.40,47117.63,54268.93,97784.62,14519.68,22739.81,16760.34,878.14,7015.18,0.00,1109839.83,110495.02,110495.02,111469.88,111408.97,111368.53,111370.96,111441.31,111441.31,111441.31,108907.52
LEONARDO RIBEIRO ALBUQUERQUE,M,14/06/1978,91,1,0,27,2,1,313609.03,42371.40,34110.23,43935.60,51992.40,41703.89,36956.95,29525.44,11128.25,9478.35,12121.45,285.07,1047250.04,99981.22,100959.57,99231.78,108961.58,104982.41,110759.92,111287.34,105356.57,102212.41,103517.24
EDUARDO LUIZ BARROS BARBOSA,M,25/08/1958,92,0,0,90,17,0,244717.26,22913.32,25992.80,30951.65,37263.00,34686.06,29255.32,23832.28,9244.83,5608.98,24588.51,380.51,1114565.19,111453.35,111453.35,111453.35,111453.35,111453.35,111453.35,111453.35,111453.35,111453.35,111485.04
EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA,M,17/10/1972,84,5,3,2,40,1,312968.63,32850.43,40394.52,45258.71,48013.04,46806.07,25355.86,21639.01,25533.18,16448.58,10669.23,0.00,1055312.52,110448.12,108787.76,97120.73,102047.21,105204.32,111471.69,102622.24,103739.73,108433.33,105437.39
EDUARDO HENRIQUE MAIA BISMARCK,M,14/11/1981,81,0,11,72,9,7,384464.17,42771.78,48433.07,53046.89,40615.87,53171.37,35061.57,49986.03,24512.53,5591.91,31221.24,51.91,1081811.75,108439.60,100116.32,102925.37,105453.61,109885.00,110998.37,110998.37,110998.37,110998.37,110998.37
EDUARDO NANTES BOLSONARO,M,10/07/1984,76,2,14,27,12,6,289240.67,19129.11,45801.56,20862.74,34033.24,20812.35,36151.56,54678.40,29120.22,20452.30,7817.74,381.45,1098174.63,111598.86,111533.88,111447.23,111308.14,109360.58,109301.13,107577.22,107577.22,108466.86,110003.51
JOSE EDUARDO PEREIRA DA COSTA,M,16/02/1968,83,0,9,10,9,6,327904.71,37602.77,27632.71,45130.56,42628.52,64988.16,22063.45,21894.85,13694.30,16136.05,36133.34,0.00,1112028.74,111313.96,111313.96,111421.78,111429.22,111429.22,111429.22,111429.22,110376.50,111374.63,110511.03
EDUARDO PEDROSA CURY,M,19/09/1963,88,1,3,73,3,1,326758.44,44245.79,43411.00,38868.35,28628.41,38316.02,37405.99,32488.40,25399.98,15738.89,21411.50,844.11,989725.85,101582.78,92109.71,91148.77,97477.96,98965.06,103240.48,98460.60,98460.60,98460.60,109819.29
EFRAIM DE ARAÚJO MORAIS FILHO,M,18/03/1979,73,10,9,6,14,5,259626.75,31920.25,54289.28,52463.46,51650.40,42763.10,7412.58,9627.39,8755.96,1.36,558.52,184.45,1115589.62,111148.60,111617.23,111617.23,111617.23,111617.23,111617.23,111617.23,111617.23,111575.98,111544.43
ELI DIAS BORGES,M,01/09/1960,81,11,0,6,11,0,387768.57,31188.98,46066.46,51592.15,46239.19,48724.20,43313.71,41770.08,35826.39,32457.67,10263.37,326.37,1104364.78,111130.49,111392.69,111205.19,108796.48,110064.23,111248.28,109041.83,110416.27,110246.84,110822.48
ADRIANO ELI CORRÊA,M,13/01/1976,82,10,0,42,27,0,259050.20,22593.30,23225.37,28285.66,57687.80,56126.53,30297.57,22196.45,6522.28,421.69,11693.55,0.00,1048068.72,105205.60,105205.60,105205.60,105205.60,101881.14,104761.01,106115.52,106115.52,106115.52,102257.61
ELIAS VAZ DE ANDRADE,M,04/07/1966,82,1,9,81,14,5,165066.01,15838.58,26200.21,25592.46,27999.68,27596.14,12853.99,11787.89,3017.22,323.45,13514.24,342.15,1074212.44,105866.83,105866.83,104555.04,105866.83,106630.73,108826.95,108826.95,108826.95,108826.95,110118.38
ELMAR JOSE VIEIRA NASCIMENTO,M,06/07/1970,68,0,24,1,0,0,387228.91,11585.43,41325.81,49088.47,60314.77,42793.20,47062.33,37636.26,47299.08,35416.34,14707.22,0.00,1088843.14,111611.09,111611.09,111611.09,111095.09,111611.09,110283.89,98339.09,103946.26,108324.61,110409.84
