nome,genero,data_nascimento,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab
FLÁVIO RODRIGUES NOGUEIRA,M,27/02/1953,91,0,1,39,4,0,393018.11,38329.27,41835.51,39604.13,37048.37,42494.03,47068.00,42082.62,36727.61,36484.39,31344.18,0.00,1106884.69,110937.69,110937.69,111074.66,110962.76,111467.18,111544.27,111544.27,111544.27,111544.27,105327.63
FRANCO CARTAFINA GOMES,M,03/11/1986,86,3,3,44,15,4,317134.14,28065.10,33009.58,43304.17,45119.68,52088.32,34699.31,22247.15,51692.11,4820.12,2088.60,0.00,1112857.76,110962.06,110962.06,110962.06,110962.06,111166.17,111568.67,111568.67,111568.67,111568.67,111568.67
FRANCISCO RODRIGUES VALE JUNIOR,M,15/03/1969,87,2,3,25,6,2,309142.86,17093.58,30616.27,50032.21,33547.10,38718.63,30008.06,31405.20,20504.95,10000.71,26688.21,20527.94,1076485.10,110440.58,110440.58,110440.58,110440.58,108630.41,108370.30,101304.39,105472.56,105472.56,105472.56
EUGENIO JOSÉ ZULIANI,M,13/01/1976,51,24,17,9,37,17,281317.44,35715.90,40468.18,42837.22,40713.17,63995.25,18553.55,16151.75,15973.11,2755.29,3475.52,678.50,1080042.52,111641.38,111641.38,111641.38,106897.30,106370.18,106370.18,106370.18,106370.18,106370.18,106370.18
ROBERTO SEBASTIÃO PETERNELLI JUNIOR,M,06/08/1954,89,3,0,132,21,0,217684.66,17011.69,44800.56,44569.19,22660.96,25933.02,28500.81,13743.54,8753.72,5423.58,6241.24,46.35,730045.66,67824.41,70484.71,70484.71,74499.52,79446.76,86394.48,95109.95,76397.80,54701.66,54701.66
FREDERICO BORGES DA COSTA,M,12/07/1977,83,0,9,14,5,1,284352.33,14730.30,29479.43,41701.41,55095.45,44266.74,24177.23,21336.08,23057.48,15301.98,12687.52,2518.71,1077826.83,110167.89,108567.01,109305.97,109305.97,109563.08,108452.71,101554.25,109006.01,107977.56,103926.38
ANTONIO RIBEIRO,M,03/03/1944,86,0,6,30,14,4,361093.35,40812.78,41699.11,53527.13,42212.73,53135.08,32573.14,21560.81,17788.85,19494.29,37332.36,957.07,1106146.52,110889.19,110889.19,110889.19,110313.55,109560.78,110047.86,110889.19,110889.19,110889.19,110889.19
GENECIAS MATEUS NORONHA,M,13/03/1963,58,3,31,0,0,0,177557.54,6912.14,17143.52,33463.86,26327.99,19477.71,14497.11,13104.39,10260.84,26907.04,9462.94,0.00,1012113.82,92989.03,98109.44,100534.90,101430.22,99984.28,106905.63,103040.08,103040.08,103040.08,103040.08
ELIÉSER GIRÃO MONTEIRO FILHO,M,08/05/1955,85,3,4,47,6,3,353477.47,37148.25,58184.62,39315.76,43316.28,45230.05,37619.01,23969.66,26317.64,11139.62,31236.58,0.00,1114542.85,111550.61,111550.61,111550.61,111550.61,111550.61,110587.36,111550.61,111550.61,111550.61,111550.61
GELSON DE AZEVEDO ALMEIDA,M,10/01/1965,88,4,0,17,13,0,268046.24,17208.87,18142.04,73589.54,23955.82,60671.30,21380.73,24088.36,10719.92,15215.86,1858.58,1215.22,1112585.65,111429.10,111429.10,111429.10,111207.70,111523.22,111580.75,111580.75,111580.75,111580.75,109244.43
